gene_id,Con_PTH_1,Con_PTH_2,Con_PTH_3,Con_PTH_4,Con_Veh_1,Con_Veh_2,Con_Veh_3,Con_Veh_4
ENSMUSG00000051056|Gja10,0,0,0,2,0,8,0,0
ENSMUSG00000041757|Plekha6,331,296,232,243,290,298,256,326
ENSMUSG00000065492|Mir34b,0,0,0,0,0,0,0,0
ENSMUSG00000109058|Olfr695,0,0,0,0,0,0,0,0
MSTRG.10270|1110034G24Rik,80,68,66,52,156,121,182,152
ENSMUSG00000049123|Catsperg2,0,0,0,0,0,0,2,0
ENSMUSG00000105077|Gm4859,0,2,0,0,1,0,0,1
MSTRG.13526|Pisd,1201,828,953,956,1316,1192,1278,1493
ENSMUSG00000021596|Mctp1,142,82,172,136,87,55,119,114
ENSMUSG00000099637|Gm28737,0,0,0,0,0,0,0,0
ENSMUSG00000082337|Gm14723,0,0,0,0,0,0,0,0
MSTRG.19251|n-R5s85,0,1,0,0,0,1,0,0
ENSMUSG00000090864|Vmn2r40,0,0,0,0,0,0,0,0
ENSMUSG00000102221|Gm37301,0,0,0,0,0,0,0,0
MSTRG.16962|Fah,882,587,676,812,952,851,1032,1095
ENSMUSG00000103329|Gm42492,0,3,0,0,0,0,0,0
ENSMUSG00000085812|Gm15843,1,5,4,4,0,0,3,2
MSTRG.11073|Dhx36,2990,1747,2031,2580,2886,2856,3094,3134
MSTRG.19119|Tmem266,5,0,0,0,0,0,0,9
ENSMUSG00000107594|Tas2r142-ps5,0,0,0,0,0,0,0,0
MSTRG.18506|Gm16116,8,9,3,0,9,8,6,8
MSTRG.7345|Mir5134,1,1,1,1,1,1,1,1
MSTRG.13481|Khk,284,192,253,285,288,296,273,299
MSTRG.2084|Gm24430,0,0,0,0,0,0,0,2
ENSMUSG00000063478|Tas2r114,0,0,0,0,0,0,0,0
MSTRG.2472|Grb10,46070,23187,27876,35151,36616,38203,41965,40095
ENSMUSG00000027761|Aadac,4,0,2,0,3,2,0,2
MSTRG.18963|Msantd2,634,358,402,461,437,518,563,573
MSTRG.2408|Mtmr3,3784,2485,2796,3526,3747,3732,3937,4183
MSTRG.18621|Gm10612,0,0,0,0,0,1,0,0
ENSMUSG00000017309|Cd300lg,4,0,0,0,0,2,2,6
ENSMUSG00000089472|Gm25368,0,0,0,0,0,0,0,0
ENSMUSG00000095457|Gm8989,5,7,5,3,6,7,4,8
ENSMUSG00000108625|RP24-191L21.4,0,0,0,0,0,0,0,0
MSTRG.7438|Bnip1,488,461,476,424,652,663,599,732
MSTRG.19624|Hemk1,174,230,256,211,262,239,373,298
ENSMUSG00000088833|Gm23542,0,0,0,0,0,0,0,0
ENSMUSG00000083738|Gm14592,0,0,0,0,0,0,0,0
MSTRG.11221|Gm38392,0,7,0,0,2,0,0,0
MSTRG.17370|Gm17137,2,0,2,0,0,0,4,0
ENSMUSG00000073006|Gm732,0,0,0,0,0,0,0,0
ENSMUSG00000103005|Gm37898,0,0,0,0,0,0,0,0
ENSMUSG00000038007|Acer2,57,40,36,47,31,31,30,11
MSTRG.435|Fzd5,1085,651,782,1139,3864,4281,4730,4763
ENSMUSG00000083536|Gm15808,0,0,0,0,0,0,0,0
MSTRG.14637|Gm42731,0,4,0,0,0,0,0,0
ENSMUSG00000100956|Gm28558,0,0,0,0,0,0,0,0
ENSMUSG00000103290|Ighv1-23,0,0,0,0,0,0,0,0
MSTRG.18848|Atg4d,701,494,519,505,306,322,472,423
ENSMUSG00000100491|Gm28331,0,0,0,0,0,0,0,0
MSTRG.19599|Rpl29,12959,8791,9598,9788,10553,8774,9698,10596
MSTRG.6309|Rpl3,19449,13305,15525,16422,14379,12622,14910,14696
MSTRG.20579|Gm15726,22,65,52,48,30,34,42,35
ENSMUSG00000072613|1700049E17Rik2,0,0,0,0,0,0,0,0
ENSMUSG00000048652|Samd13,17,0,8,2,5,11,13,14
MSTRG.16783|Lins1,314,241,258,291,511,433,485,470
MSTRG.7769|Bysl,2621,1235,1464,1812,1148,1146,1221,1352
ENSMUSG00000082754|Olfr1021-ps1,0,0,0,0,0,0,0,0
MSTRG.11304|Nup210l,29,13,36,33,33,25,17,37
ENSMUSG00000092732|Gm24025,0,0,0,0,0,0,0,0
MSTRG.3810|Cygb,1106,772,940,882,1120,912,1004,1022
MSTRG.5373|A830039N20Rik,8,0,3,21,15,22,18,14
MSTRG.7454|Nudt3,3110,2127,2345,2779,2744,2815,2870,3107
MSTRG.5728|Bnip3l,5013,3613,4536,4155,5283,4757,5193,5237
MSTRG.12671|Gm26186,0,1,1,6,2,1,1,3
ENSMUSG00000074680|Defb26,0,0,0,0,0,0,0,0
MSTRG.8583|Rab1b,6533,4215,4515,5624,6129,5758,5824,6497
ENSMUSG00000092905|Gm25735,0,0,0,0,0,0,0,0
ENSMUSG00000082490|Gm11880,0,0,0,0,0,0,0,0
ENSMUSG00000082919|Gm12641,0,0,0,0,0,0,0,0
MSTRG.3051|4933427D14Rik,242,237,230,306,440,331,365,374
ENSMUSG00000101472|Gm28517,0,0,0,0,0,0,0,0
MSTRG.10125|Wdr76,114,74,75,81,116,158,250,162
ENSMUSG00000081681|Gm14868,0,0,0,0,0,0,0,0
MSTRG.19653|Gmppb,5308,2960,3526,3855,2357,2157,2331,2639
ENSMUSG00000052221|Ppp1r36,0,23,2,2,6,5,2,12
ENSMUSG00000009580|Odam,0,0,0,0,0,0,0,0
MSTRG.14686|Epo,0,1,0,0,1,15,13,0
MSTRG.8429|Spire1,1791,1076,978,1368,1245,1279,1570,1548
ENSMUSG00000065457|Mir383,0,0,0,0,0,0,0,0
ENSMUSG00000106399|Gm43530,0,0,0,0,0,0,0,0
ENSMUSG00000101692|Gm28244,0,0,0,0,0,0,0,0
ENSMUSG00000102527|Gm36942,0,0,0,0,0,0,0,0
ENSMUSG00000080697|Vmn1r-ps107,0,0,0,0,0,0,0,0
ENSMUSG00000088370|Gm22880,0,0,0,0,0,0,0,0
ENSMUSG00000080695|Gm5394,0,0,0,0,0,0,0,0
MSTRG.1738|Nus1,5817,3515,4155,4311,4451,4229,4716,5096
MSTRG.13219|1500002C15Rik,58,65,78,51,110,125,93,145
MSTRG.14257|Mir7028,1,3,2,1,1,2,1,3
ENSMUSG00000083059|Olfr268-ps1,0,0,0,0,0,0,0,0
ENSMUSG00000045109|Krtap4-7,0,0,0,0,0,0,0,0
MSTRG.12270|Grin3a,425,180,248,271,288,313,381,440
MSTRG.9706|Gm37651,0,0,0,0,0,0,0,0
ENSMUSG00000086243|Gm12121,0,0,0,0,0,0,0,0
MSTRG.12258|Erp44,5622,2646,3468,4115,4535,4512,5402,5108
MSTRG.19669|Klhdc8b,263,482,311,390,523,442,465,416
MSTRG.18999|Gm26737,449,371,406,352,227,294,364,337
MSTRG.16799|Synm,3603,3000,3368,3067,2722,2273,2658,2266
ENSMUSG00000065220|Gm25794,0,0,0,0,0,0,0,0
ENSMUSG00000100230|Gm28650,0,0,0,0,0,0,0,0
MSTRG.6364|Nfam1,525,390,384,503,244,332,273,496
MSTRG.19726|Als2cl,225,347,290,310,225,190,323,265
ENSMUSG00000084215|Gm11814,0,1,0,0,0,2,0,0
ENSMUSG00000067242|Lgi1,0,0,0,0,0,0,0,11
ENSMUSG00000084134|Gm13930,0,0,0,0,0,0,0,0
MSTRG.5482|Gm7324,325,190,230,219,306,225,284,255
ENSMUSG00000083053|Gm15001,0,0,0,0,0,0,0,0
ENSMUSG00000101360|4933417O13Rik,4,0,0,4,17,2,1,5
ENSMUSG00000100687|Gm18357,0,0,0,0,0,0,0,0
ENSMUSG00000082962|Gm10601,5,11,4,6,17,18,5,9
ENSMUSG00000051986|A530006G24Rik,0,0,0,0,5,0,0,0
MSTRG.13861|Gm43230,0,0,0,2,0,0,0,0
MSTRG.14171|Ankle2,2073,1277,1376,1719,1940,1879,2188,2145
